state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
D & N HAVELI,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,0,0,0,0,4,4,0,4,0,0,0
DAMAN & DIU,OTHER CRIMES COMMITTED AGAINST CHILDREN,5,0,0,3,2,5,7,0,7,0,0,0
DELHI,OTHER CRIMES COMMITTED AGAINST CHILDREN,161,330,0,240,251,1125,1376,0,1169,207,77,130
LAKSHADWEEP,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,3,0,3,0,15,15,0,13,2,0,2
TOTAL (UTs),OTHER CRIMES COMMITTED AGAINST CHILDREN,194,358,0,263,289,1290,1579,0,1357,222,81,141
TOTAL (ALL-INDIA),OTHER CRIMES COMMITTED AGAINST CHILDREN,1523,9918,73,1611,9757,25481,35238,745,28508,5985,1926,4059
ANDHRA PRADESH,TOTAL CRIMES AGAINST CHILDREN,958,2387,7,868,2470,3083,5553,199,3584,1770,214,1556
ARUNACHAL PRADESH,TOTAL CRIMES AGAINST CHILDREN,6,39,1,20,24,136,160,0,155,5,2,3
ASSAM,TOTAL CRIMES AGAINST CHILDREN,233,391,76,312,236,289,525,0,458,67,2,65
BIHAR,TOTAL CRIMES AGAINST CHILDREN,2297,2319,44,2106,2466,5172,7638,4,6181,1453,133,1320
CHHATTISGARH,TOTAL CRIMES AGAINST CHILDREN,17,2059,0,19,2057,3800,5857,60,4198,1599,593,1006
GOA,TOTAL CRIMES AGAINST CHILDREN,57,125,2,93,87,329,416,2,401,13,1,12
GUJARAT,TOTAL CRIMES AGAINST CHILDREN,114,1563,0,118,1559,7065,8624,1,7900,723,94,629
HARYANA,TOTAL CRIMES AGAINST CHILDREN,7,1101,0,17,1091,435,1526,0,1182,344,37,307
HIMACHAL PRADESH,TOTAL CRIMES AGAINST CHILDREN,55,285,3,76,261,557,818,2,668,148,42,106
JAMMU & KASHMIR,TOTAL CRIMES AGAINST CHILDREN,0,44,0,0,44,198,242,0,227,15,1,14
JHARKHAND,TOTAL CRIMES AGAINST CHILDREN,23,113,0,35,101,99,200,0,64,136,2,134
KARNATAKA,TOTAL CRIMES AGAINST CHILDREN,71,607,8,129,541,967,1508,9,1085,414,27,387
KERALA,TOTAL CRIMES AGAINST CHILDREN,716,1582,4,856,1438,3174,4612,3,4178,431,101,330
MADHYA PRADESH,TOTAL CRIMES AGAINST CHILDREN,102,7136,0,38,7200,13823,21023,614,16171,4238,1299,2939
MAHARASHTRA,TOTAL CRIMES AGAINST CHILDREN,1666,4185,20,1764,4067,22092,26159,54,24651,1454,143,1311
MANIPUR,TOTAL CRIMES AGAINST CHILDREN,99,33,25,105,2,3,5,0,5,0,0,0
MEGHALAYA,TOTAL CRIMES AGAINST CHILDREN,111,90,34,136,31,144,175,0,165,10,2,8
MIZORAM,TOTAL CRIMES AGAINST CHILDREN,17,93,1,20,89,56,145,0,104,41,39,2
NAGALAND,TOTAL CRIMES AGAINST CHILDREN,21,12,0,0,33,0,33,0,0,33,33,0
ODISHA,TOTAL CRIMES AGAINST CHILDREN,12,489,0,29,472,995,1467,0,1335,132,21,111
PUNJAB,TOTAL CRIMES AGAINST CHILDREN,456,717,48,529,596,1075,1671,0,1295,376,132,244
RAJASTHAN,TOTAL CRIMES AGAINST CHILDREN,18,1248,0,53,1213,3699,4912,30,3945,937,354,583
SIKKIM,TOTAL CRIMES AGAINST CHILDREN,1,30,0,8,23,90,113,0,51,62,46,16
TAMIL NADU,TOTAL CRIMES AGAINST CHILDREN,631,1105,32,864,840,1293,2133,0,1674,459,104,355
TRIPURA,TOTAL CRIMES AGAINST CHILDREN,58,22,6,12,62,195,257,0,128,129,20,109
UTTAR PRADESH,TOTAL CRIMES AGAINST CHILDREN,976,11470,2502,1824,8120,13103,21223,12,17980,3231,1772,1459
UTTARAKHAND,TOTAL CRIMES AGAINST CHILDREN,0,118,0,6,112,200,312,0,240,72,49,23
WEST BENGAL,TOTAL CRIMES AGAINST CHILDREN,942,1259,88,1148,965,1611,2576,14,2206,356,22,334
TOTAL (STATES),TOTAL CRIMES AGAINST CHILDREN,9664,40622,2901,11185,36200,83683,119883,1004,100231,18648,5285,13363
A & N ISLANDS,TOTAL CRIMES AGAINST CHILDREN,36,33,0,37,32,262,294,0,284,10,1,9
CHANDIGARH,TOTAL CRIMES AGAINST CHILDREN,20,56,7,13,56,124,180,0,126,54,23,31
D & N HAVELI,TOTAL CRIMES AGAINST CHILDREN,3,14,0,2,15,57,72,0,56,16,4,12
DAMAN & DIU,TOTAL CRIMES AGAINST CHILDREN,8,9,0,3,14,10,24,0,19,5,1,4
DELHI,TOTAL CRIMES AGAINST CHILDREN,391,1351,25,519,1198,4528,5726,0,4763,963,390,573
LAKSHADWEEP,TOTAL CRIMES AGAINST CHILDREN,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL CRIMES AGAINST CHILDREN,4,32,0,10,26,125,151,0,132,19,6,13
TOTAL (UTs),TOTAL CRIMES AGAINST CHILDREN,462,1495,32,584,1341,5106,6447,0,5380,1067,425,642
TOTAL (ALL-INDIA),TOTAL CRIMES AGAINST CHILDREN,10126,42117,2933,11769,37541,88789,126330,1004,105611,19715,5710,14005
