area_name,year,group_name,sub_group_name,k_a_cases_reported,k_a_female_10_15_years,k_a_female_15_18_years,k_a_female_18_30_years,k_a_female_30_50_years,k_a_female_above_50_years,k_a_female_total,k_a_female_upto_10_years,k_a_grand_total,k_a_male_10_15_years,k_a_male_15_18_years,k_a_male_18_30_years,k_a_male_30_50_years,k_a_male_above_50_years,k_a_male_total,k_a_male_upto_10_years
Goa,2008,Kidnap - For Revenge,08. For Revenge,1,,,,,,1,1,1,,,,,,,
Gujarat,2008,Kidnap - For Revenge,08. For Revenge,46,0,1,0,1,0,3,1,46,0,0,28,14,0,43,1
Haryana,2008,Kidnap - For Revenge,08. For Revenge,19,3,0,2,1,0,6,0,21,0,0,5,8,0,15,2
Himachal Pradesh,2008,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Kidnap - For Revenge,08. For Revenge,7,0,0,5,1,0,6,0,7,0,0,1,0,0,1,0
Jharkhand,2008,Kidnap - For Revenge,08. For Revenge,9,0,0,0,,,,0,9,0,0,2,7,,9,0
Karnataka,2008,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2008,Kidnap - For Revenge,08. For Revenge,14,,,,,,1,1,14,,1,6,6,,13,
Madhya Pradesh,2008,Kidnap - For Revenge,08. For Revenge,2,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1
Maharashtra,2008,Kidnap - For Revenge,08. For Revenge,15,1,0,0,0,1,2,0,15,0,0,4,8,0,13,1
Manipur,2008,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2008,Kidnap - For Revenge,08. For Revenge,2,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0
Mizoram,2008,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2008,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2008,Kidnap - For Revenge,08. For Revenge,22,0,0,4,3,0,7,0,22,0,1,7,7,0,15,0
Puducherry,2008,Kidnap - For Revenge,08. For Revenge,0,,,,,,,,,,,,,,,
Punjab,2008,Kidnap - For Revenge,08. For Revenge,6,,,2,,,2,,7,,,4,0,,5,1
Rajasthan,2008,Kidnap - For Revenge,08. For Revenge,11,,,3,,,4,1,11,,,5,2,,7,
Tamil Nadu,2008,Kidnap - For Revenge,08. For Revenge,4,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
Uttar Pradesh,2008,Kidnap - For Revenge,08. For Revenge,139,0,0,0,0,0,0,0,139,4,13,84,37,1,139,0
West Bengal,2008,Kidnap - For Revenge,08. For Revenge,36,9,1,0,0,0,10,0,36,20,0,5,1,0,26,0
Andhra Pradesh,2009,Kidnap - For Revenge,08. For Revenge,45,5,1,4,0,0,15,5,45,3,1,8,12,0,30,6
Arunachal Pradesh,2009,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2009,Kidnap - For Revenge,08. For Revenge,15,0,0,8,5,0,13,0,15,0,0,0,0,2,2,0
Bihar,2009,Kidnap - For Revenge,08. For Revenge,8,0,0,0,0,0,0,0,8,0,0,7,1,0,8,0
Chandigarh,2009,Kidnap - For Revenge,08. For Revenge,3,1,1,1,0,0,3,0,3,0,0,0,0,0,0,0
Chhattisgarh,2009,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2009,Kidnap - For Revenge,08. For Revenge,1,,,,,,,,1,,,,,,1,1
Gujarat,2009,Kidnap - For Revenge,08. For Revenge,11,1,1,2,0,0,5,1,12,0,1,2,3,1,7,0
Haryana,2009,Kidnap - For Revenge,08. For Revenge,27,1,1,3,0,1,6,0,27,0,0,9,11,1,21,0
Himachal Pradesh,2009,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2009,Kidnap - For Revenge,08. For Revenge,4,0,0,1,1,0,2,0,7,0,0,1,4,0,5,0
Jharkhand,2009,Kidnap - For Revenge,08. For Revenge,12,0,0,3,0,0,3,0,12,0,0,7,2,0,9,0
Karnataka,2009,Kidnap - For Revenge,08. For Revenge,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Kerala,2009,Kidnap - For Revenge,08. For Revenge,8,,,0,0,0,0,,8,,,4,2,2,8,
Madhya Pradesh,2009,Kidnap - For Revenge,08. For Revenge,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Maharashtra,2009,Kidnap - For Revenge,08. For Revenge,16,0,1,3,1,0,8,3,18,1,0,6,2,0,10,1
Manipur,2009,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2009,Kidnap - For Revenge,08. For Revenge,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Nagaland,2009,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,Kidnap - For Revenge,08. For Revenge,13,0,0,6,0,0,6,0,13,0,0,7,0,0,7,0
Punjab,2009,Kidnap - For Revenge,08. For Revenge,7,,,,1,,1,,7,,,1,2,1,6,2
Rajasthan,2009,Kidnap - For Revenge,08. For Revenge,7,,,4,,,4,,7,,,,3,,3,
Tamil Nadu,2009,Kidnap - For Revenge,08. For Revenge,5,0,0,1,0,0,1,0,5,0,0,3,1,0,4,0
Uttar Pradesh,2009,Kidnap - For Revenge,08. For Revenge,117,0,0,8,0,0,8,0,117,0,1,70,36,2,109,0
West Bengal,2009,Kidnap - For Revenge,08. For Revenge,40,0,3,6,0,0,9,0,40,2,2,14,11,2,31,0
Andhra Pradesh,2010,Kidnap - For Revenge,08. For Revenge,32,0,0,11,0,0,12,1,32,1,0,7,10,0,20,2
Arunachal Pradesh,2010,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2010,Kidnap - For Revenge,08. For Revenge,26,,,14,5,,19,,26,,,,7,,7,
Bihar,2010,Kidnap - For Revenge,08. For Revenge,9,,,1,,,1,,9,,4,4,,,8,
Chandigarh,2010,Kidnap - For Revenge,08. For Revenge,1,,,,,,,,1,,,,,,1,1
Chhattisgarh,2010,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,Kidnap - For Revenge,08. For Revenge,7,0,0,2,0,0,2,0,7,0,0,4,1,0,5,0
Haryana,2010,Kidnap - For Revenge,08. For Revenge,23,1,3,1,1,0,7,1,23,1,0,10,4,1,16,0
Himachal Pradesh,2010,Kidnap - For Revenge,08. For Revenge,2,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0
Jammu & Kashmir,2010,Kidnap - For Revenge,08. For Revenge,7,0,0,4,2,0,6,0,7,0,0,0,1,0,1,0
Jharkhand,2010,Kidnap - For Revenge,08. For Revenge,10,0,0,0,0,0,0,0,10,0,0,9,1,0,10,0
Karnataka,2010,Kidnap - For Revenge,08. For Revenge,15,0,0,3,1,0,4,0,15,0,0,11,0,0,11,0
Kerala,2010,Kidnap - For Revenge,08. For Revenge,6,0,0,1,0,0,1,0,6,0,0,2,3,0,5,0
Madhya Pradesh,2010,Kidnap - For Revenge,08. For Revenge,5,0,0,0,0,0,0,0,5,0,2,0,3,0,5,0
Maharashtra,2010,Kidnap - For Revenge,08. For Revenge,22,0,1,0,0,0,1,0,23,1,2,11,5,0,22,3
Manipur,2010,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Revenge,08. For Revenge,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Mizoram,2010,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Kidnap - For Revenge,08. For Revenge,3,0,0,1,0,0,1,0,3,0,0,0,2,0,2,0
Punjab,2010,Kidnap - For Revenge,08. For Revenge,1,,,,,,,,1,,,,,,1,1
Rajasthan,2010,Kidnap - For Revenge,08. For Revenge,13,,2,0,0,0,3,1,13,,0,3,5,2,10,
Tamil Nadu,2010,Kidnap - For Revenge,08. For Revenge,12,0,2,2,0,0,4,0,12,0,0,1,7,0,8,0
Uttar Pradesh,2010,Kidnap - For Revenge,08. For Revenge,61,1,1,4,1,0,9,2,61,4,3,27,13,1,52,4
West Bengal,2010,Kidnap - For Revenge,08. For Revenge,12,0,0,3,0,0,3,0,12,0,0,4,3,2,9,0
Andhra Pradesh,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Sale,09. For Sale,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Bihar,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Sale,09. For Sale,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Delhi,2001,Kidnap - For Sale,09. For Sale,1,,,,,,1,1,1,0,,,,,,
Gujarat,2001,Kidnap - For Sale,09. For Sale,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Haryana,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2001,Kidnap - For Sale,09. For Sale,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Karnataka,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Kidnap - For Sale,09. For Sale,1,1,,,,,1,0,1,0,0,,,,0,0
Maharashtra,2001,Kidnap - For Sale,09. For Sale,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Meghalaya,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Sale,09. For Sale,7,0,0,0,0,0,0,0,7,0,2,5,0,0,7,0
Tamil Nadu,2001,Kidnap - For Sale,09. For Sale,0,,,,,,,,,,,,,,,
Uttar Pradesh,2001,Kidnap - For Sale,09. For Sale,20,4,10,1,,,15,,20,,,2,2,,5,1
West Bengal,2001,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2002,Kidnap - For Sale,09. For Sale,3,0,1,1,0,0,2,0,3,1,0,0,0,0,1,0
Assam,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2002,Kidnap - For Sale,09. For Sale,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
Daman & Diu,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2002,Kidnap - For Sale,09. For Sale,3,,1,2,,,3,,3,,,,,,,
Karnataka,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2002,Kidnap - For Sale,09. For Sale,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Meghalaya,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2002,Kidnap - For Sale,09. For Sale,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Tamil Nadu,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2002,Kidnap - For Sale,09. For Sale,0,,,,,,,,,,,,,,,
Uttar Pradesh,2002,Kidnap - For Sale,09. For Sale,0,,,,,,,,,,,,,,,
West Bengal,2002,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2003,Kidnap - For Sale,09. For Sale,2,0,0,0,0,0,4,4,5,0,0,0,0,0,1,1
Arunachal Pradesh,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2003,Kidnap - For Sale,09. For Sale,6,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0
Bihar,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,Kidnap - For Sale,09. For Sale,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Haryana,2003,Kidnap - For Sale,09. For Sale,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Himachal Pradesh,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Kidnap - For Sale,09. For Sale,2,1,,,,,2,1,2,,,,,,0,
Maharashtra,2003,Kidnap - For Sale,09. For Sale,3,0,1,1,0,0,4,2,4,0,0,0,0,0,0,0
Meghalaya,2003,Kidnap - For Sale,09. For Sale,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Nagaland,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2003,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2003,Kidnap - For Sale,09. For Sale,2,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Andhra Pradesh,2004,Kidnap - For Sale,09. For Sale,5,2,0,1,0,0,3,0,5,0,0,0,0,0,2,2
Arunachal Pradesh,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2004,Kidnap - For Sale,09. For Sale,3,1,0,2,0,0,3,0,3,0,0,0,0,0,0,0
Chhattisgarh,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2004,Kidnap - For Sale,09. For Sale,1,,,,,,1,1,1,,,,,,,
Gujarat,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2004,Kidnap - For Sale,09. For Sale,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Madhya Pradesh,2004,Kidnap - For Sale,09. For Sale,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Maharashtra,2004,Kidnap - For Sale,09. For Sale,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Manipur,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Sale,09. For Sale,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0
Punjab,2004,Kidnap - For Sale,09. For Sale,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Rajasthan,2004,Kidnap - For Sale,09. For Sale,0,,,,,,,,,,,,,,,
Tamil Nadu,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2004,Kidnap - For Sale,09. For Sale,0,,,,,,,,,,,,,,,
Uttar Pradesh,2004,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2004,Kidnap - For Sale,09. For Sale,5,1,2,2,0,0,5,0,5,0,0,0,0,0,0,0
Andhra Pradesh,2005,Kidnap - For Sale,09. For Sale,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Arunachal Pradesh,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2005,Kidnap - For Sale,09. For Sale,37,0,2,30,5,0,37,0,37,0,0,0,0,0,0,0
Bihar,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2005,Kidnap - For Sale,09. For Sale,2,,,,,,,,2,,,,,,2,2
Gujarat,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2005,Kidnap - For Sale,09. For Sale,4,0,1,0,0,0,2,1,4,0,0,0,0,0,2,2
Manipur,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2005,Kidnap - For Sale,09. For Sale,10,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0
Punjab,2005,Kidnap - For Sale,09. For Sale,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Tripura,2005,Kidnap - For Sale,09. For Sale,0,,,,,,,,,,,,,,,
Uttar Pradesh,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2005,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2006,Kidnap - For Sale,09. For Sale,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Haryana,2006,Kidnap - For Sale,09. For Sale,1,1,,,,,1,,1,,,,,,,
Himachal Pradesh,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2006,Kidnap - For Sale,09. For Sale,4,3,1,0,0,0,4,0,4,0,0,0,0,0,0,0
Karnataka,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2006,Kidnap - For Sale,09. For Sale,2,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0
Maharashtra,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2006,Kidnap - For Sale,09. For Sale,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Mizoram,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2006,Kidnap - For Sale,09. For Sale,2,0,0,1,0,0,3,2,3,0,0,0,0,0,0,0
Odisha,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2006,Kidnap - For Sale,09. For Sale,1,,,,,,,,1,,,,,,1,1
Tamil Nadu,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2006,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2007,Kidnap - For Sale,09. For Sale,4,0,0,0,0,0,2,2,5,1,0,0,0,0,3,2
Arunachal Pradesh,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2007,Kidnap - For Sale,09. For Sale,4,0,2,0,,,2,0,4,0,2,0,,,2,0
Karnataka,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2007,Kidnap - For Sale,09. For Sale,2,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Manipur,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2007,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2007,Kidnap - For Sale,09. For Sale,20,1,1,17,1,0,20,0,20,0,0,0,0,0,0,0
Andhra Pradesh,2008,Kidnap - For Sale,09. For Sale,11,0,2,3,6,0,11,0,11,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2008,Kidnap - For Sale,09. For Sale,8,4,2,1,0,0,8,1,8,0,0,0,0,0,0,0
Bihar,2008,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2008,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2008,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2008,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,0
Himachal Pradesh,2008,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2008,Kidnap - For Sale,09. For Sale,1,0,0,1,,,1,0,1,0,0,0,,,,0
